source,target,weight,ref_type
scripts/scripts.md,scripts/package_deployment.py,1,wikilink
scripts/scripts.md,scripts/transcribe_recording.sh,1,wikilink
scripts/sync_web_bundle.py,CLAUDE.md,1,path_literal
scripts/sync_web_bundle.py,config/claude/settings.json,1,path_literal
setup.sh,.mcp.json,2,env_path
setup.sh,AXIOMS.md,1,env_path
setup.sh,CLAUDE.md,1,env_path
setup.sh,GEMINI.md,22,env_path
setup.sh,HEURISTICS.md,1,env_path
setup.sh,config/claude/mcp-base.json,1,env_path
setup.sh,config/claude/mcp.json,2,env_path
setup.sh,config/claude/settings.json,1,env_path
setup.sh,gemini/config/mcp-servers.json,1,env_path
setup.sh,gemini/config/settings-merge.json,1,env_path
setup.sh,gemini/hooks/router.py,1,env_path
setup.sh,scripts/convert_commands_to_toml.py,1,env_path
setup.sh,scripts/convert_mcp_to_gemini.py,1,env_path
setup.sh,scripts/sync_web_bundle.py,1,env_path
skills/analyst/SKILL.md,skills/analyst/instructions/data-investigation.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/instructions/dbt-workflow.md,3,wikilink
skills/analyst/SKILL.md,skills/analyst/instructions/experiment-logging.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/instructions/exploratory-analysis.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/instructions/methodology-files.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/instructions/methods-vs-methodology.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/instructions/research-documentation.md,2,wikilink
skills/analyst/SKILL.md,skills/analyst/instructions/streamlit-workflow.md,2,wikilink
skills/analyst/SKILL.md,skills/analyst/references/assumptions_and_diagnostics.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/references/bayesian_statistics.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/references/context-discovery.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/references/dbt-workflow.md,4,wikilink
skills/analyst/SKILL.md,skills/analyst/references/effect_sizes_and_power.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/references/matplotlib.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/references/quick-reference-commands.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/references/reporting_standards.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/references/seaborn.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/references/statistical-analysis.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/references/statsmodels.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/references/streamlit-patterns.md,2,wikilink
skills/analyst/SKILL.md,skills/analyst/references/streamlit.md,1,wikilink
skills/analyst/SKILL.md,skills/analyst/references/test_selection_guide.md,1,wikilink
skills/analyst/instructions/experiment-logging.md,skills/analyst/instructions/methodology-files.md,1,wikilink
skills/analyst/instructions/experiment-logging.md,skills/analyst/instructions/methods-vs-methodology.md,3,wikilink
skills/analyst/instructions/methodology-files.md,skills/analyst/instructions/methods-vs-methodology.md,1,wikilink
skills/analyst/instructions/research-documentation.md,skills/analyst/instructions/experiment-logging.md,1,wikilink
skills/analyst/instructions/research-documentation.md,skills/analyst/instructions/methodology-files.md,1,wikilink
skills/analyst/instructions/research-documentation.md,skills/analyst/instructions/methods-vs-methodology.md,1,wikilink
skills/analyst/references/assumptions_and_diagnostics.md,skills/analyst/references/seaborn.md,1,python_import
skills/analyst/references/dbt-workflow.md,skills/analyst/references/streamlit.md,1,python_import
skills/analyst/references/seaborn.md,skills/analyst/references/seaborn.md,1,python_import
skills/analyst/references/seaborn.md,skills/analyst/references/seaborn.md,1,python_import_from
skills/analyst/references/statistical-analysis.md,skills/analyst/references/assumptions_and_diagnostics.md,2,wikilink
skills/analyst/references/statistical-analysis.md,skills/analyst/references/bayesian_statistics.md,2,wikilink
skills/analyst/references/statistical-analysis.md,skills/analyst/references/effect_sizes_and_power.md,3,wikilink
skills/analyst/references/statistical-analysis.md,skills/analyst/references/reporting_standards.md,2,wikilink
skills/analyst/references/statistical-analysis.md,skills/analyst/references/test_selection_guide.md,2,wikilink
skills/analyst/references/streamlit-patterns.md,skills/analyst/references/streamlit.md,4,python_import
skills/analyst/references/streamlit.md,skills/analyst/references/streamlit.md,3,python_import
skills/audit/SKILL.md,docs/ENFORCEMENT.md,2,wikilink
skills/audit/SKILL.md,specs/enforcement.md,1,wikilink
skills/audit/SKILL.md,specs/execution-flow-spec.md,1,wikilink
skills/audit/SKILL.md,specs/framework-health.md,1,wikilink
skills/audit/SKILL.md,specs/generated-indices.md,1,wikilink
skills/audit/scripts/build_reference_map.py,AXIOMS.md,1,wikilink
skills/audit/scripts/build_reference_map.py,README.md,1,wikilink
skills/audit/scripts/find_orphans.py,.claude/CLAUDE.md,1,path_literal
skills/dashboard/dashboard.py,lib/session_analyzer.py,1,python_import_from
skills/dashboard/dashboard.py,lib/session_reader.py,1,python_import_from
skills/dashboard/dashboard.py,skills/tasks/task_loader.py,1,python_import_from
skills/excalidraw/SKILL.md,skills/excalidraw/references/common-patterns.md,1,wikilink
skills/excalidraw/SKILL.md,skills/excalidraw/references/icon-integration.md,4,wikilink
skills/excalidraw/SKILL.md,skills/excalidraw/references/json-format.md,1,wikilink
skills/excalidraw/SKILL.md,skills/excalidraw/references/library-guide.md,1,wikilink
skills/excalidraw/SKILL.md,skills/excalidraw/references/mcp-server-setup.md,1,wikilink
skills/excalidraw/SKILL.md,skills/excalidraw/references/mind-mapping-principles.md,1,wikilink
skills/excalidraw/SKILL.md,skills/excalidraw/references/productivity-tips.md,1,wikilink
skills/excalidraw/SKILL.md,skills/excalidraw/references/technical-details.md,1,wikilink
skills/excalidraw/SKILL.md,skills/excalidraw/references/text-container-pattern.md,2,wikilink
skills/excalidraw/SKILL.md,skills/excalidraw/references/theme-colors.md,5,wikilink
skills/excalidraw/references/icon-integration.md,skills/excalidraw/references/library-guide.md,1,wikilink
skills/excalidraw/references/icon-integration.md,skills/excalidraw/references/theme-colors.md,2,wikilink
skills/excalidraw/references/text-container-pattern.md,skills/excalidraw/references/technical-details.md,1,wikilink
skills/excalidraw/references/text-container-pattern.md,skills/excalidraw/references/theme-colors.md,1,wikilink
skills/feature-dev/SKILL.md,AXIOMS.md,3,wikilink
skills/feature-dev/SKILL.md,skills/feature-dev/templates/dev-plan.md,1,wikilink
skills/feature-dev/SKILL.md,skills/feature-dev/templates/experiment-plan.md,1,wikilink
skills/feature-dev/SKILL.md,skills/feature-dev/templates/test-spec.md,1,wikilink
skills/feature-dev/SKILL.md,skills/feature-dev/templates/user-story.md,1,wikilink
skills/feature-dev/templates/user-story.md,skills/feature-dev/templates/dev-plan.md,1,wikilink
skills/feature-dev/templates/user-story.md,skills/feature-dev/templates/experiment-plan.md,1,wikilink
skills/feature-dev/templates/user-story.md,skills/feature-dev/templates/test-spec.md,1,wikilink
skills/framework/SKILL.md,AXIOMS.md,5,wikilink
skills/framework/SKILL.md,AXIOMS.md,2,env_path
skills/framework/SKILL.md,FRAMEWORK.md,2,wikilink
skills/framework/SKILL.md,HEURISTICS.md,1,wikilink
skills/framework/SKILL.md,HEURISTICS.md,1,env_path
skills/framework/SKILL.md,INDEX.md,3,wikilink
skills/framework/SKILL.md,INDEX.md,2,env_path
skills/framework/SKILL.md,README.md,1,wikilink
skills/framework/SKILL.md,README.md,2,env_path
skills/framework/SKILL.md,ROADMAP.md,1,wikilink
skills/framework/SKILL.md,ROADMAP.md,2,env_path
skills/framework/SKILL.md,RULES.md,1,env_path
skills/framework/SKILL.md,VISION.md,1,wikilink
skills/framework/SKILL.md,VISION.md,2,env_path
skills/framework/SKILL.md,WORKFLOWS.md,1,env_path
skills/framework/SKILL.md,docs/ENFORCEMENT.md,1,env_path
skills/framework/SKILL.md,skills/framework/SKILL.md,1,wikilink
skills/framework/SKILL.md,skills/framework/references/claude-code-config.md,1,wikilink
skills/framework/SKILL.md,skills/framework/references/e2e-test-harness.md,1,wikilink
skills/framework/SKILL.md,skills/framework/references/hooks_guide.md,2,wikilink
skills/framework/SKILL.md,skills/framework/references/script-design-guide.md,1,wikilink
skills/framework/SKILL.md,skills/framework/references/strategic-partner-mode.md,1,wikilink
skills/framework/SKILL.md,skills/framework/workflows/01-design-new-component.md,1,wikilink
skills/framework/SKILL.md,skills/framework/workflows/02-debug-framework-issue.md,1,wikilink
skills/framework/SKILL.md,skills/framework/workflows/03-experiment-design.md,1,wikilink
skills/framework/SKILL.md,skills/framework/workflows/04-monitor-prevent-bloat.md,1,wikilink
skills/framework/SKILL.md,skills/framework/workflows/06-develop-specification.md,1,wikilink
skills/framework/SKILL.md,specs/enforcement.md,1,env_path
skills/framework/SKILL.md,specs/file-taxonomy.md,1,wikilink
skills/framework/SPEC-TEMPLATE.md,AXIOMS.md,4,wikilink
skills/framework/references/claude-code-config.md,config/claude/mcp.json,1,env_path
skills/framework/references/claude-code-config.md,setup.sh,2,env_path
skills/framework/references/claude-code-config.md,skills/framework/references/hooks_guide.md,1,wikilink
skills/framework/references/claude-code-config.md,skills/framework/references/script-design-guide.md,1,wikilink
skills/framework/references/hooks_guide.md,lib/paths.py,1,python_import_from
